courseName,location,fees,url,entry_year,study_mode,duration,course_code,start_date
Adult Nursing BSc (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/hls-nhs/adult-nursing-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time                    </p>",B740,September 2023
Accountancy BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/accountancy-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years full-time (work placement)                    </p>",,September 2023
Accounting and Finance BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/accounting-and-finance-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Accounting and Finance for International Business BSc (Hons) top-up,Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/top-up/accounting-and-finance-for-international-business-bsc-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",NN43,September 2023
Accounting and Finance for International Business BA (Hons) top-up,Coventry University London (City of London),"£16,800",https://www.coventry.ac.uk/london/course-structure/ug/accounting-and-finance-for-international-business-top-up-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",N900,September 2023
Advertising and Digital Marketing BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/advertising-and-digital-marketing-ba/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Applied Biosciences BSc (Hons),"CU London (Dagenham, London)","£18,300 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/science/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",CF11 / 112C / 11FC,September 2023
Applied Biosciences Foundation Year,"CU London (Dagenham, London)","£18,300 per year",https://www.coventry.ac.uk/cul/course-structure/foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",C910,September 2023
Applied Biosciences with Foundation Year BSc (Hons),CU Coventry (Coventry),"£18,300",https://www.coventry.ac.uk/cuc/course-structure/integrated-foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years full-time<br>5 years sandwich                    </p>",,September 2023
Applied Biosciences BSc (Hons),CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/science/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",CF11 / 112C / 11FC,September 2023
Applied Biosciences Foundation Year,CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/foundation/science/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",FC31,September 2023
Applied Psychology BSc (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/applied-psychology/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",C810 / C811 / C812,September 2023
Applied Psychology BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/applied-psychology-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU041,September 2023
Applied Psychology BSc (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/applied-psychology/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",C810 / C811 / C812,September 2023
Accounting and Financial Management MSc,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fbl/accounting-and-financial-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>Up to 2 years, with professional experience                    </p>",FBLT041,September 2023
Applied Innovation Leadership MA,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/fah/applied-innovation-leadership-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",AHT062,September 2023
Aviation Management BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/aviation-management/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU056,September 2023
Automotive Engineering MEng/BEng (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/eec/automotive-engineering-mengbeng-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
BEng:3 years full-time4 years sandwich<br>MEng:4 years full-time5 years sandwich                    </p>",,September 2023
Automotive and Transport Design MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/automotive-design-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",AHT043,September 2023
Architecture MArch,Coventry University (Coventry),"£12,400 per year",https://www.coventry.ac.uk/course-structure/pg/fah/architecture-march/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
2 years full-time                    </p>",AHT045,September 2023
Banking and Finance BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/banking-and-finance-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Automotive and Transport Design BA (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/fah/automotive-and-transport-design-mdesba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",WHG3,September 2023
Biomedical Science BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/biomedical-science-applied-biomedical-science-bsc/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Biological and Forensic Science BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/biological-and-forensic-science-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Business Administration BBA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-administration-bba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Automotive Engineering MSc,Coventry University (Coventry),"£20,050 | £4,000 (Work placement option additional fee) per year",https://www.coventry.ac.uk/course-structure/pg/eec/automotive-engineering-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT041,September 2023
Business Analytics MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/fbl/business-analytics-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",FBLT159,September 2023
Business Economics BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-economics-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Business and Organisational Psychology MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/hls/business-and-organisational-psychology-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",On campus - HLST272,September 2023
Business and Marketing BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-and-marketing-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Business and Human Resource Management BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-and-hr-management-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Business and Finance BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-and-finance-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Business Management and Leadership BA (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/management/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU046,September 2023
Business Management and Leadership BA (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/management/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",N20L / N20M / N20N,September 2023
Business Management and Leadership BA (Hons),CU Coventry (Coventry),"£16,800 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/business-mgt-leadership/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",N20L / N20M / N20N,September 2023
Business Management and Leadership BA (Hons),"CU London (Greenwich, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/business-management/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",N20L / N20M / N20N,September 2023
Business Management and Leadership BA (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/management/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
3 year - Degree<br>1 year - HNC                    </p>",N20L / N20N,September 2023
Business Management and Leadership BA (Hons) top-up (online),100% online study,"£6,000 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/management-online/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",CUCLU068D,September 2023
Business Management BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/business-management-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Civil Engineering Project Management MSc,Coventry University (Coventry),"£18,600 | £4,000 (Work placement option additional fee)",https://www.coventry.ac.uk/course-structure/pg/eec/civil-engineering-project-management/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT108,September 2023
Civil Engineering/Civil Engineering (Technical Route) MSc,Coventry University (Coventry),"£18,600 | £4,000 (Work placement option additional fee) per year",https://www.coventry.ac.uk/course-structure/pg/eec/civil-engineering-technical-route-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT022 (Civil Engineering MSc),September 2023
Cloud Computing BSc (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/cloud-computing-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",161I,September 2023
Commercial Law LLB (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/commercial-law-llb/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Cloud Computing BSc (Hons),CU Coventry (Coventry),"£27,400 (accelerated) | £18,300 (full-time) per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/cloud-computing/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>2 years (accelerated)                    </p>",,September 2023
Cloud Computing BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/cloud-computing/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time                    </p>",CUPU052,September 2023
Computing Science BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/computing-science-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU043,September 2023
Computing Science BSc (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/computing-science/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",I102 / I103 / I104,September 2023
Computer Science with Artificial Intelligence MSci/BSc (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/eec/computer-science-with-artificial-intelligence-msci-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
BSc:3 years full-time4 years sandwich<br>MSci:4 years full-time5 years sandwich                    </p>",,September 2023
Computing Science BSc (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/computing-science/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",I102 / I103 / I104,September 2023
"Communication, Culture and Media MA",Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/fah/communication-culture-and-media-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT080,September 2023
Computer Science MSc,Coventry University (Coventry),"£20,050 | £4,000 (Work placement option additional fee) per year",https://www.coventry.ac.uk/course-structure/pg/eec/computer-science-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT043,September 2023
Computer Science MSci/BSc (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/eec/computer-science-mscibsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
BSc:3 years full-time4 years sandwich<br>MSci:4 years full-time5 years sandwich                    </p>",,September 2023
Construction Management with BIM MSc,Coventry University (Coventry),"£18,600 | £4,000 (Work placement option additional fee)",https://www.coventry.ac.uk/course-structure/pg/eec/construction-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",On campus - EECT011,September 2023
Construction Project and Cost Management MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/eec/construction-project-and-cost-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",On campus - EECT020,September 2023
Criminal Justice MA,Coventry University (Coventry),"£16,700 | £4,000 (Work placement option additional fee) per year",https://www.coventry.ac.uk/course-structure/pg/fah/criminal-justice-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT084,September 2023
Criminal Law and Justice LLB (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/criminal-law-and-justice-llb/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Cyber Security BSc (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/cyber-security/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND                    </p>",I107 / I106,September 2023
Critical Care Nursing PGCert,Coventry University (Coventry),Not available,https://www.coventry.ac.uk/course-structure/pg/hls/critical-care-nursing-pg-cert/?term=2023-24,2023-24,Part-time,"<p class=""mbn"">
1 year part-time                    </p>",HLST298,September 2023
Crowded Places and Public Safety Management MSc/PGCert,Coventry University (Coventry),"£18,600 (MSc) | £6,200 (PGCert) in total",https://www.coventry.ac.uk/course-structure/pg/eec/crowded-places-and-public-safety-management-pg-cert/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",MSc: On campus EECT031,September 2023
Data Science and Computational Intelligence MSc,Coventry University (Coventry),"£20,050 | £4,000 (Work placement option additional fee)",https://www.coventry.ac.uk/course-structure/pg/eec/data-science-and-computational-intelligence-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT044,September 2023
Cyber Security MSc,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/eec/cyber-security-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",EECT029,September 2023
Cyber Security BSc (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/cyber-security/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree                    </p>",CUPU047,September 2023
Cyber Security BSc (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/cyber-security/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",I107 / I106,September 2023
Data Science MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/eec/data-science-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",EECT109,September 2023
"Diplomacy, Law and Global Change MA",Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/diplomacy-law-and-global-change-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT021,September 2023
Dietetics and Leadership MSc,Coventry University (Coventry),"£18,600 per year",https://www.coventry.ac.uk/course-structure/pg/hls/dietetics-and-leadership-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
2 years full-time                    </p>",HLST269,January 2024
Disaster Risk and Resilience PGCert,Coventry University (Coventry),"£6,200",https://www.coventry.ac.uk/course-structure/pg/eec/disaster-risk-and-resilience-pg-cert/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",On campus - EECT018,September 2023
Design Management MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/design-management-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT038,September 2023
Digital Marketing Management MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/fbl/digital-marketing-mgt-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",FBLT056,September 2023
Disaster Management and Resilience MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/eec/disaster-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",On campus - EECT016,September 2023
Digital Marketing with Data Analytics MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/digital-marketing-with-data-analytics-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT060 (Digital Marketing with Data Analytics),September 2023
Early Childhood Development and Learning BA (Hons),CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/childhood/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",X300 / X301 / X302,September 2023
Early Childhood Development and Learning BA (Hons),CU Scarborough (Scarborough),"£18,300 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/childhood/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years full-time (work placement)                    </p>",X300 / X302,September 2023
Early Childhood Development and Learning with Foundation Year BA (Hons),CU Scarborough (Scarborough),"£16,800",https://www.coventry.ac.uk/cus/course-structure/integrated-foundation/childhood/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years full-time<br>5 years sandwich                    </p>",,September 2023
"Economics, Banking and Finance MSc",Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice) per year",https://www.coventry.ac.uk/london/course-structure/pg/economics-banking-and-finance-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT087,September 2023
Economics BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/economics-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Early Childhood Development and Learning with Foundation Year BA (Hons),CU Coventry (Coventry),TBC,https://www.coventry.ac.uk/cuc/course-structure/integrated-foundation/childhood/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years full-time<br>5 years sandwich                    </p>",,September 2023
