originalPrices,discounts,titles,regularPrices
"23,050.00","Save
15%",Duranta Alloy 27-Speed Venom R27.5 Red,"19,592.00"
"23,690.00","Save
15%",Duranta Alloy 30-Spd Venom R27.5 Red,"20,136.00"
"17,060.00","Save
10%",Duranta Steel 24-Spd Venom R27.5 Green  847695,"15,354.00"
"12,000.00","Save
10%","Duranta Bicycle Steel 1-Speed Supreme 26""  Green","10,800.00"
"10,500.00","Save
10%","Duranta CB Potter Plus 20"" Red","9,450.00"
"14,390.00","Save
10%","26"" Elswick Elegence Ladies Bike 6 Speed","12,951.00"
"13,050.00","Save
10%","26""x18"" Boss  Venom DS Ladies 21 Speed","11,745.00"
"10,990.00","Save
10%",Duranta Steel 1-Spd Potter Plus M/W 20 Blue 847794,"9,891.00"
"11,460.00","Save
10%","Duranta Steel 1-Speed Mascular 24"" Red, 847499	","10,314.00"
"11,270.00","Save
10%",Duranta Steel 1-Spd Gravity Plus 26 Blue,"10,143.00"
"12,805.00","Save
10%","26""X19"" Falcon Odyssey Mens 18 Speed Bike","11,525.00"
"12,805.00","Save
10%","26""x17"" Falcon Orchid Womens  18 Speed","11,525.00"
"11,525.00","Save
10%","Duranta Steel 18-Spd Â Signature 26"" Red with yellow","10,373.00"
"10,885.00","Save
10%",Duranta Steel 18-Spd Signature 26 Red with Yellow,"9,797.00"
"13,415.00","Save
10%","20""  Banksy BMX Bike-Single Speed","12,075.00"
"14,025.00","Save
10%","26"" Elswick Deluxe Ladies Bike 6 Speed","12,625.00"
"15,540.00","Save
10%",Duranta Steel 1-Speed Muscular Premier 24 Red,"9,000.00"
"13,365.00","Save
10%","Duranta Allan Inova 26"" (Multi speed ) 804308","16,905.00"
"9,735.00","Save
10%",Duranta Steel 1-Spd City Bike 26 Black,"8,965.00"
"8,965.00",Not Available,Duranta CB City Bike 26 Inch Blue,"8,965.00"
"10,375.00",Not Available,"Duranta Knight Black Gents Bicycle 26""","10,375.00"
"17,500.00",Not Available,Duranta Steel Venom-Red(Multi speed) 847694,"17,500.00"
"15,540.00",Not Available,DURANTA STEEL 21-SPD VENOM -21R27.5 YELLOW,"15,540.00"
"7,910.00",Not Available,"Duranta Avenger Premier-20"" 847514","7,910.00"
"9,920.00",Not Available,"Duranta Optimus 26"" (Single speed) 847451","9,920.00"
"1,950.00",Not Available,Duranta Jackson Tricycle 847261,"1,950.00"
"9,605.00",Not Available,"Duranta Steel 1-Spd Royal 1-Bar 28""(deep green) 847157","9,605.00"
"7,910.00",Not Available,Duranta BIXO Steel 1-Spd 20 MJB-03 Pink (PC),"7,910.00"
"7,570.00",Not Available,Duranta Extreme 16 Inch Bicycle,"7,570.00"
"8,800.00",Not Available,Duranta Steel 1-Spd Synergy 24 Red,"8,800.00"
"13,365.00",Not Available,"Duranta Supreme 26"" Blue Gents","13,365.00"
"9,500.00",Not Available,"Duranta Avenger 24"" Gents Red","9,500.00"
"9,990.00",Not Available,Duranta Steel 1-Spd Rider 26 Red,"9,990.00"
"9,500.00",Not Available,"Duranta CB Avenger 24"" Gents Blue","9,500.00"
"12,275.00",Not Available,"Duranta Muscular 24"" (Multi speed ) 804678","12,275.00"
"9,755.00",Not Available,"Duranta CB Potter Plus 20"" Red","9,755.00"
"9,220.00",Not Available,Duranta Steel 1-Spd Rider 24 Blue,"9,220.00"
"17,060.00",Not Available,Duranta Steel 24-Speed Venom R27.5 Blue 847693,"17,060.00"
"9,605.00",Not Available,Duranta Steel 1-Spd Super Deluxe 28 Deep Green 847045,"9,605.00"
"3,415.00",Not Available,Duranta Joovy Tricycle Mixed 847566,"3,415.00"
"11,525.00",Not Available,"Duranta Steel 1-Speed Avenger Premier 26"" Red","11,525.00"
"6,708.00",Not Available,Duranta Bike Trainer 804818,"6,708.00"
"2,927.00",Not Available,Duranta Adinky Rfl-002 Pink R 847046,"2,927.00"
"2,075.00",Not Available,Duranta Baby Swing Car Music Green 847420,"2,075.00"
"2,196.00",Not Available,Duranta Copper Baby Try Cycle R 847047,"2,196.00"
"1,830.00",Not Available,Duranta Oliver Baby Try Cycle 847049,"1,830.00"
"2,440.00",Not Available,Duranta Agile (RFL-003) Blue/Pink 804492 804492,"2,440.00"
"9,500.00",Not Available,Duranta Micycle Ladies 26 Inch Bicycle 847255,"9,500.00"
"7,230.00",Not Available,"Duranta Avenger Premier 16 "" Bicycle","7,230.00"
"7,300.00",Not Available,Duranta Bixo 16.04 16 Inch Bicycle 847551,"7,300.00"
"2,440.00",Not Available,Duranta Switch Baby Tricycle Blue 804491,"2,440.00"
"6,550.00",Not Available,"Duranta BIXO 14"" Bicycle - Pink 847571","6,550.00"
"10,200.00",Not Available,Duranta Steel 1-Spd Angellena Ladies 24 Pink Without Basket,"10,200.00"
250.00,Not Available,Duranta Steel 1-Spd Angellena Ladies Cycle Basket,250.00
"15,540.00",Not Available,DURANTA STEEL 21-SPD VENOM -21R27.5 BLUE,"15,540.00"
"2,927.00",Not Available,Duranta Angels Baby Tricycle,"2,927.00"
"20,815.00",Not Available,Duranta Alloy 21-Spd Xavier R-1905 26 Green,"20,815.00"
"9,990.00",Not Available,"Duranta Allan Spider 20"" Gents 1 Speed-Red","9,990.00"
"7,110.00",Not Available,Duranta CB Daisy 16 Inch Stl Mudguard,"7,110.00"
"13,385.00",Not Available,Duranta Alloy 21-Spd Allan Turbo 26 Blue,"13,385.00"
"9,350.00",Not Available,Duranta CB Optimus-26 S Spd Blue,"9,350.00"
"19,790.00",Not Available,Duranta CB MTB26 Xavier R-1903-BLUE 8Bicycle,"19,790.00"
"14,540.00",Not Available,"Duranta 26"" CB MTB26 Xavier R-1901 Bicyle Blue","14,540.00"
200.00,Not Available,Bicycle Fitting Charge,200.00
"9,000.00",Not Available,MicycleÂ  Steel 1-Spd 24 MJB-08 Ladies Pink (PC),"9,000.00"
"9,000.00",Not Available,Micycle  Steel 1-Spd 24 MJB-07 Gents Red (PC),"9,000.00"
"18,185.00",Not Available,British Eagle Bella 15/26,"18,185.00"
"9,095.00",Not Available,Duranta Steel 1-Speed Muscular Premier 26 Blue,"9,095.00"
"8,780.00",Not Available,Duranta Steel 1-Speed Muscular Premier 26 Red,"8,780.00"
"8,905.00",Not Available,Duranta Steel 1-Spd Moto Bike 16 Green,"8,905.00"
"10,920.00",Not Available,Duranta Steel 18-Spd 700C Hybrid Red,"10,920.00"
"11,460.00",Not Available,"Duranta Steel 1-Speed Mascular 24"" Green","11,460.00"
"23,690.00",Not Available,DURANTA ALLOY 30-SPD VENOM -R27.5 YELLOW,"23,690.00"
"23,050.00",Not Available,Duranta Alloy 27-SPD Venom R27.5 Yellow,"23,050.00"
"8,840.00",Not Available,"Duranta CB Racer Masti Blue Single Carton 26"" Blue","8,840.00"
"7,230.00",Not Available,"Duranta Avenger Premier 16 "" Bicycle","7,230.00"
"8,460.00",Not Available,"Duranta Junior Ryan - 20"" Bicycle","8,460.00"
"11,525.00",Not Available,"Duranta Steel 1-Speed Avenger Premier 26"" Red","11,525.00"
"10,200.00",Not Available,Duranta Steel 1-Spd Angellena Ladies 24 Pink Without Basket,"10,200.00"
"8,965.00",Not Available,Duranta Steel 1-Spd City Bike 26 Black,"8,965.00"
"11,525.00",Not Available,Duranta Avenger Premier Blue 26 Inch Bicycle,"11,525.00"
"11,390.00",Not Available,Duranta Stl 1-Spd Spaark 24M-03B CKD DS with Carri,"11,390.00"
"19,390.00",Not Available,Duranta Alloy 21-Spd Spaark 26M-10 CKD FS MW Blue,"19,390.00"
"16,590.00",Not Available,Duranta Alloy 21-Spd Dynamic X-800 26 Blue,"16,590.00"
"11,500.00",Not Available,Duranta Stl 21-Spd Potter 20M-1SS-Red/Blue/Yellow,"11,500.00"
"16,490.00",Not Available,"Duranta Alloy 21-Spd Dynamic X-500 26 Green,847162	","16,490.00"
"4,800.00",Not Available,Sample Bike 14 Inch-Exp,"4,800.00"
"8,500.00",Not Available,Sample Bike 28 Inch-Exp,"8,500.00"
"13,986.00",Not Available,Duranta Steel 21-Spd Venom 21r27.5 Red,"13,986.00"
"12,029.00",Not Available,"Duranta Supreme 26""(Multi speed) 804680","12,029.00"
"8,762.00",Not Available,"Duranta Knight Red Gents Bicycle 26""","8,762.00"
"8,965.00",Not Available,Duranta Steel 1-Spd City Bike 26 Black,"8,965.00"
"9,860.00",Not Available,Duranta Steel 1-Spd Classic 1-Bar 28 Black 804287,"9,860.00"
"10,550.00",Not Available,"Duranta Durjoy 1-Bar 26""(Single Speed) 804383","10,550.00"
"9,480.00",Not Available,804414Duranta Steel 1-Spd Master 26 Red,"9,480.00"
"6,690.00",Not Available,"Duranta Glister -14"" 804578","6,690.00"
"13,365.00",Not Available,"Duranta Mascular-26""(Multi speed) 804681","13,365.00"
"8,455.00",Not Available,Duranta Steel 1-Spd Rider 20 Blue,"8,455.00"
"8,455.00",Not Available,"Duranta Rider - 20 "" 806979","8,455.00"
"9,640.00",Not Available,"Duranta Durjoy Single Bar- 26""(Single speed) 847007","9,640.00"
"7,570.00",Not Available,Duranta CB Extreme Boys Bicycle 16 inch,"7,570.00"
"8,455.00",Not Available,"Duranta Extreme 20"" 85485","8,455.00"
"11,300.00",Not Available,"Duranta Classic Gold 2-Bar- 28"" (Single speed) 85480","11,300.00"
"9,735.00",Not Available,"Duranta Knight Red Gents Bicycle 26""","9,735.00"
"7,910.00",Not Available,Duranta Steel 1-Spd Avenger Premier 20 Blue,"7,910.00"
"9,735.00",Not Available,Poseidon / Avigo Dual Suspension 26 Inch,"9,735.00"
280.00,Not Available,"Duranta CB Camellia Girls Bicycle 20"" Cherry Pink Supporting Wheel",280.00
"13,365.00",Not Available,"Duranta Scorpion-26"" (Multi Speed) 847143","13,365.00"
"9,350.00",Not Available,"Duranta Optimus-26""(Single speed) 847054","9,350.00"
"10,700.00",Not Available,"Duranta Durjoy 2-Bar 26"" (Single speed) 847008","10,700.00"
"8,420.00",Not Available,"Duranta Recoil Ultimate 24"" Blue 806689","8,420.00"
"13,380.00",Not Available,"Duranta Gravity 26"" (Multi speed) 804958","13,380.00"
"9,990.00",Not Available,"Duranta Rider-26"" (single speed) 804089","9,990.00"
"7,940.00",Not Available,"Duranta Energy 20"" 804430","7,940.00"
"6,420.00",Not Available,Duranta Steel 1 Spd Premier M-12.01 Blue,"6,420.00"
"12,550.00",Not Available,"Duranta Allan Ultimate 24""(Multi speed) 804685","12,550.00"
"7,940.00",Not Available,"Duranta Ryan 20"" 804428","7,940.00"
"10,580.00",Not Available,"Duranta Angellena Ladies Single Spd 26"" Bicycle Without Basket","10,580.00"
"15,000.00",Not Available,"Duranta Allan Ultimate Plus 26"" Red- 804778","15,000.00"
"13,365.00",Not Available,"Duranta Muscular 26"" (Multi speed) 804496","13,365.00"
"7,570.00",Not Available,"Duranta Extreme 16"" 804314","7,570.00"
"12,275.00",Not Available,"Duranta Supreme 24"" Red Gents","12,275.00"
"9,990.00",Not Available,"Duranta Rider - 26"" (Single speed) 804070","9,990.00"
"9,480.00",Not Available,"Duranta Micycle 2-Bar 28""(Single speed) 847552","9,480.00"
"6,420.00",Not Available,"Duranta Premier -12"" 804576","6,420.00"
"13,385.00",Not Available,"Duranta Wrestler- 26"" (Multi speed) 847204","13,385.00"
"12,000.00",Not Available,"Duranta Scorpian 26""(Single speed)Blue 847495","12,000.00"
"13,960.00",Not Available,"Duranta Allan Primo 26"" Gents Red","13,960.00"
"9,160.00",Not Available,Duranta Recoils Gents Bicycle  Black 20ï¿½,"9,160.00"
"7,815.00",Not Available,Duranta Dulki Ladies Bicycle 20ï¿½ Steel Mudguard,"7,815.00"
"7,940.00",Not Available,"Duranta Daisy Girls Bicycle 20"" Steel Mudguard","7,940.00"
"10,245.00",Not Available,"Duranta CB Energy Multi Spd 24"" Blue W/O Bottole","10,245.00"
"12,275.00",Not Available,"Duranta Muscular 24"" Black Gents","12,275.00"
"6,150.00",Not Available,"Duranta Zenith 20"" Red","6,150.00"
"6,405.00",Not Available,"Duranta Daisy Girls  Light Pink Bicycle 20""","6,405.00"
"8,455.00",Not Available,"Duranta Extreme Boys Bicycle 20"" Steel Mudguard","8,455.00"
"9,095.00",Not Available,"Duranta CB Racer Masti Green Gents Single Car 26""","9,095.00"
"5,445.00",Not Available,"Duranta Prim 14"" Kids Blue","5,445.00"
"6,020.00",Not Available,"Duranta Prim 14"" Kids Green","6,020.00"
"9,095.00",Not Available,"Duranta CB Racer Masti Red Gents  Single Car 26""","9,095.00"
"7,110.00",Not Available,"Duranta Shiva 16"" Kids Blue","7,110.00"
"6,405.00",Not Available,"Duranta Dictator 16"" Kids","6,405.00"
"21,070.00",Not Available,"Duranta Allan Hunter 26"" Gents Flat Bike","21,070.00"
"9,990.00",Not Available,"Duranta Allan Plus-26"" Red","9,990.00"
"9,480.00",Not Available,"Duranta Recoil Ultimate 26"" Black","9,480.00"
"13,365.00",Not Available,"Duranta Supreme 26"" Gray Gents","13,365.00"
"8,964.00",Not Available,"Duranta Knight Victor Bicycle Black 26""","8,964.00"
"10,700.00",Not Available,"Duranta Durjoy Double bar  26""","10,700.00"
"13,705.00",Not Available,"Duranta Allan Ultimate 26"" Black Gents","13,705.00"
325.00,Not Available,Bicycle Phoenix MP 20 inch Ladies 888275,325.00
"9,270.00",Not Available,"Duranta Steel 1-Spd Durjoy Ladies 26"" 804465","9,270.00"
"3,537.00",Not Available,Duranta Super Trike Tricycle Mixed 806669,"3,537.00"
"2,000.00",Not Available,Duranta Nora Pink Tricycle 847138,"2,000.00"
"13,365.00",Not Available,Duranta Scorpion Plus MTB Adult Bike 847145 [CLONE],"13,365.00"
"9,690.00",Not Available,Duranta Bicycle 26â 847558,"9,690.00"
"12,550.00",Not Available,"Duranta CB Gravity 26"" Multi Speed Green 804960","12,550.00"
"8,455.00",Not Available,"Duranta CB Extreme Boys Bicycle 20"" X300 Blue 804316","8,455.00"
"8,460.00",Not Available,Duranta Steel 1-Spd Camellia 20 Pink,"8,460.00"
"11,525.00",Not Available,Duranta Avenger Premier Green 26 Inch Bicycle 847288,"11,525.00"
"12,000.00",Not Available,Duranta Allan Scorpion Plus 26 Inch Bicycle 847494,"12,000.00"
"12,550.00",Not Available,Duranta Recoil Premier 26 Inch Bicycle 847287,"12,550.00"
"13,385.00",Not Available,Duranta Allan Wrestler 26 Inch Gents 21 Speed Blue 847203,"13,385.00"
"7,110.00",Not Available,Duranta Steel 1-Spd Ryan Plus 16 Green,"7,110.00"
"6,915.00",Not Available,Duranta Spaark 16 Inch Bicycle- 847670,"6,915.00"
"9,220.00",Not Available,Duranta Rider Red Bicycle 24 Inch- 85473,"9,220.00"
"9,605.00",Not Available,Duranta Steel 1 Spd Royal 1 Bar 28 Black- 847158,"9,605.00"
"13,365.00",Not Available,Duranta Steel 21-Spd Supreme 26 Green 804495,"13,365.00"
"8,050.00",Not Available,"20"" Duranta Rayan Single Speed- 847734","8,050.00"
"6,150.00",Not Available,BIXO  Steel 1-Speed 14'' DX-14.10 Pink- 847550,"6,150.00"
"8,050.00",Not Available,"Duranta Steel 1-Spd Rayan 20"" Yellow- 847735","8,050.00"
"11,460.00",Not Available,Duranta Supreme Green Bicycle 24 Inch,"11,460.00"
"11,460.00",Not Available,Duranta Scorpion Plus Blue Bicycle 24 Inch,"11,460.00"
"11,460.00",Not Available,Duranta Scorpion Plus Green Bicycle 24 Inch,"11,460.00"
"6,275.00",Not Available,Duranta Steel 1-Spd Glister 14 Green,"6,275.00"
"2,805.00",Not Available,Duranta Nemo T-01 Tricycle,"2,805.00"
"11,245.00",Not Available,"Duranta CB Avenger Disc Brake-26"" Black","11,245.00"
"10,629.00",Not Available,Duranta Recoils Gents Bicycle Red 26â,"10,629.00"
"9,930.00",Not Available,"Duranta Synergy Ladies  Single Speed 26"" Bicycle","9,930.00"
"12,550.00",Not Available,Duranta Predator 22 Ds001 26 Inch Bicycle,"12,550.00"
"13,385.00",Not Available,Duranta Alloy 21-Spd Allan Spinner 26 Blue,"13,385.00"
"18,510.00",Not Available,"Duranta CB MTB26 Xavier 26"" R-1902 Green","18,510.00"
"13,960.00",Not Available,Duranta CB Allan Primo 26 Yellow,"13,960.00"
"12,550.00",Not Available,"Duranta Allan Ultimate 24"" Gents Gray","12,550.00"
"9,415.00",Not Available,Duranta Steel 1 Spd Scool M-20.01 Orange,"9,415.00"
"8,455.00",Not Available,Duranta Steel 1-Speed Muscular Premier 24 Blue,"8,455.00"
"9,930.00",Not Available,Duranta Cb Synergy S-Spd L-26 Inch-Pink-W/Basket,"9,930.00"
"15,000.00",Not Available,Duranta Alloy 21-Spd Allan Ultimate Plus 26 Blue,"15,000.00"
"8,455.00",Not Available,"Duranta Steel 1-Spd Extreme 20"" Brazil Edition","8,455.00"
"8,455.00",Not Available,"Duranta Steel 1-Spd Extreme 20"" Argentina Edition","8,455.00"
"7,580.00",Not Available,"Duranta Junior Ryan 16"" Bicycle","7,580.00"
"6,150.00",Not Available,"Duranta Glitter- 14"" Bicycle","6,150.00"
"6,150.00",Not Available,"Duranta CB Energy 12"" Kids Bicycle With Basket","6,150.00"
"8,905.00",Not Available,"Duranta Motobike 16"" Bicycle","8,905.00"
"6,020.00",Not Available,Duranta Steel 1-Spd Girls 12 Pink,"6,020.00"
"9,415.00",Not Available,"Duranta Steel 1-Spd Scool-M-20.01-Black,804091","9,415.00"
"9,480.00",Not Available,804414	Duranta Steel 1-Spd Master 26 Red,"9,480.00"
"6,400.00",Not Available,"Duranta Bixo 12"" Bicycle(Red)","6,400.00"
"7,110.00",Not Available,Duranta Steel 1-Spd Ryan Plus 16 Green,"7,110.00"
"6,790.00",Not Available,Duranta Steel 1-Spd Premier-M-16.02-Red,"6,790.00"
"19,390.00",Not Available,847729	Duranta Alloy 21-Spd Spaark 26M-10 CKD FS MW Grn,"19,390.00"
240.00,Not Available,	Training Wheel & Bracket-20In-D,240.00
"11,700.00",Not Available,"Duranta Predator 26"" (Multi speed) 747667","11,700.00"
